rank,content_id,score,action,why_wrong
1,content_,98534.80000000002,PROMOTE,If engagement drops due to external factors or seasonality
2,content_,79469.2,PROMOTE,If engagement drops due to external factors or seasonality
3,content_,79324.40000000001,PROMOTE,If engagement drops due to external factors or seasonality
4,content_,65186.600000000006,PROMOTE,If engagement drops due to external factors or seasonality
5,content_,64091.30000000001,PROMOTE,If engagement drops due to external factors or seasonality
6,content_,63633.200000000004,PROMOTE,If engagement drops due to external factors or seasonality
7,content_,62910.5,PROMOTE,If engagement drops due to external factors or seasonality
8,content_,61805.3,PROMOTE,If engagement drops due to external factors or seasonality
9,content_,61787.3,PROMOTE,If engagement drops due to external factors or seasonality
10,content_,59424.9,PROMOTE,If engagement drops due to external factors or seasonality
